学校代号,学校名称,是否双一流,分数线,位次,百分位
4513,广西师范大学,No,595,53225,0.0
4517,广西医科大学,No,595,53225,0.0
4519,广西中医药大学,No,595,53225,0.0
4521,桂林电子科技大学,No,595,53225,0.0
4528,桂林医学院,No,595,53225,0.0
4602,海南大学,Yes,595,53225,0.0
4607,海南师范大学,No,595,53225,0.0
4609,海南医学院,No,595,53225,0.0
5017,重庆工商大学,No,595,53225,0.0
5022,重庆交通大学,No,595,53225,0.0
5024,重庆理工大学,No,595,53225,0.0
5027,重庆师范大学,No,595,53225,0.0
5032,重庆邮电大学,No,595,53225,0.0
5107,成都信息工程大学,No,595,53225,0.0
5109,成都大学,No,595,53225,0.0
5131,四川师范大学,No,595,53225,0.0
5139,西华大学,No,595,53225,0.0
5140,西华师范大学,No,595,53225,0.0
5144,西南科技大学,No,595,53225,0.0
5145,西南民族大学,No,595,53225,0.0
5206,贵州中医药大学,No,595,53225,0.0
5220,遵义医科大学,No,595,53225,0.0
5302,大理大学,No,595,53225,0.0
5304,昆明理工大学,No,595,53225,0.0
5313,云南财经大学,No,595,53225,0.0
5318,云南警官学院,No,595,53225,0.0
5320,云南农业大学,No,595,53225,0.0
6105,陕西科技大学,No,595,53225,0.0
6111,陕西中医药大学,No,595,53225,0.0
6113,西安财经大学,No,595,53225,0.0
6120,西安工业大学,No,595,53225,0.0
6128,西安科技大学,No,595,53225,0.0
6143,西安邮电大学,No,595,53225,0.0
6205,兰州交通大学,No,595,53225,0.0
6218,甘肃政法学院,No,595,53225,0.0
6501,石河子大学,Yes,595,53225,0.0
6504,新疆大学,Yes,595,53225,0.0
