Province,Number of Admission Positions
Zhejiang,32802
Jiangsu,2898
Shanghai,2092
Beijing,1838
Hubei,1451
Sichuan,1116
Shaanxi,944
Shandong,816
Hunan,776
Tianjin,665
Guangdong,598
Chongqing,567
Liaoning,565
Fujian,564
Anhui,555
Heilongjiang,490
Jiangxi,438
Hebei,400
Jilin,379
Shanxi,332
Hainan,285
Henan,281
Yunan,183
Gansu,179
Guangxi,120
Guizhou,99
Xinjiang,98
Qinghai,33
Ningxia,31
Inner Mongolia,20
